kernel,0.005,0.01,0.02,0.05,0.1
ASpT,0.181,-0.016,0.048,0.043,0.021
Acc-SpMM,0.475,0.132,0.185,0.38,0.466
DTC-SpMM,0.31,0.151,0.176,0.409,0.528
FlashSparse,0.39,0.2,0.202,0.48,0.631
SMaT,0.949,0.683,0.758,0.742,0.697
cuSPARSE-BSR,1.383,1.092,1.055,1.001,0.939
cuSPARSE-CSR,0.674,0.27,0.2,0.137,0.101
