,0.005,0.01,0.02,0.05,0.1,0.2
cuSPARSE-BSR,3.197,2.641,1.606,1.181,1.14,1.086
SMaT,1.883,1.796,1.464,1.107,1.105,1.021
DTC-SpMM,0.898,1.053,1.096,1.071,1.066,1.05
FlashSparse,0.98,1.112,1.124,1.06,1.067,1.019
Acc-SpMM,0.982,1.042,1.056,1.017,1.039,1.016
cuSPARSE-CSR,1.374,1.289,1.087,1.059,1.061,1.02
ASpT,1.017,1.011,1.011,0.989,0.995,0.998
