kernel,0.005,0.01,0.02,0.05,0.1
ASpT,0.198,0.139,0.106,0.104,0.066
Acc-SpMM,0.359,0.355,0.338,0.434,0.436
DTC-SpMM,0.255,0.31,0.339,0.473,0.572
FlashSparse,0.384,0.415,0.432,0.53,0.624
SMaT,0.581,0.668,0.718,0.661,0.661
cuSPARSE-BSR,0.939,0.942,0.943,0.897,0.876
cuSPARSE-CSR,0.733,0.739,0.625,0.359,0.206
