kernel,0.005,0.01,0.02,0.05,0.1
ASpT,0.198,0.139,0.106,0.104,0.066
Acc-SpMM,0.137,0.17,0.204,0.33,0.297
DTC-SpMM,0.062,0.165,0.253,0.366,0.456
FlashSparse,0.133,0.23,0.305,0.438,0.542
SMaT,0.581,0.668,0.718,0.661,0.661
cuSPARSE-BSR,0.884,0.886,0.87,0.777,0.763
cuSPARSE-CSR,0.667,0.646,0.519,0.258,0.126
