job_id,tag,matrix,perm,time_reordering_ms,time_loading_ms
687126,SB_metis,rajat07.mtx,SB_metis,58.210312,199.03331
687125,SB_metis,rajat06.mtx,SB_metis,60.186798,92.312645
687124,SB_metis,rajat03.mtx,SB_metis,59.817883,172.700455
687123,SB_metis,rajat02.mtx,SB_metis,37.252361,68.4403
687122,SB_metis,rajat01.mtx,SB_metis,78.660927,132.380554
687121,SB_metis,Pres_Poisson.mtx,SB_metis,148.253281,564.4953
687120,SB_metis,coupled.mtx,SB_metis,94.916267,395.564514
687119,SB_metis,man_5976.mtx,SB_metis,120.182861,272.38208
687118,SB_metis,lock_700.mtx,SB_metis,40.694298,190.416748
687117,SB_metis,lock3491.mtx,SB_metis,114.053017,295.466675
687116,SB_metis,lock2232.mtx,SB_metis,99.415947,179.912521
687115,SB_metis,lock1074.mtx,SB_metis,60.670296,92.284065
687114,SB_metis,cegb3306.mtx,SB_metis,86.939995,98.968529
687113,SB_metis,cegb3024.mtx,SB_metis,102.773903,125.611916
687112,SB_metis,cegb2919.mtx,SB_metis,207.811523,310.986237
687111,SB_metis,cegb2802.mtx,SB_metis,175.81073,193.915436
687106,SB_metis,init_adder1.mtx,SB_metis,39.872456,28.039703
687105,SB_metis,adder_trans_02.mtx,SB_metis,39.5616,17.970291
687104,SB_metis,adder_trans_01.mtx,SB_metis,39.338436,31.94669
687103,SB_metis,adder_dcop_69.mtx,SB_metis,40.45739,10.058572
687102,SB_metis,adder_dcop_68.mtx,SB_metis,39.802113,20.718607
687101,SB_metis,adder_dcop_67.mtx,SB_metis,39.898075,35.411343
687100,SB_metis,adder_dcop_66.mtx,SB_metis,40.075058,11.202609
687099,SB_metis,adder_dcop_65.mtx,SB_metis,39.844467,19.462946
687098,SB_metis,adder_dcop_64.mtx,SB_metis,39.82011,28.805708
687097,SB_metis,adder_dcop_63.mtx,SB_metis,40.078888,77.909836
687096,SB_metis,adder_dcop_62.mtx,SB_metis,39.568985,42.803928
687095,SB_metis,adder_dcop_61.mtx,SB_metis,40.16058,35.33886
687094,SB_metis,adder_dcop_60.mtx,SB_metis,39.784878,18.311184
687093,SB_metis,adder_dcop_59.mtx,SB_metis,40.521271,15.83834
687092,SB_metis,adder_dcop_58.mtx,SB_metis,39.656681,34.143787
687091,SB_metis,adder_dcop_57.mtx,SB_metis,39.348728,14.984882
687090,SB_metis,adder_dcop_56.mtx,SB_metis,39.967182,24.301809
687089,SB_metis,adder_dcop_55.mtx,SB_metis,39.862705,16.678968
687088,SB_metis,adder_dcop_54.mtx,SB_metis,39.744026,20.223768
687087,SB_metis,adder_dcop_53.mtx,SB_metis,40.080807,9.595897
687086,SB_metis,adder_dcop_52.mtx,SB_metis,40.214931,13.706185
687085,SB_metis,adder_dcop_51.mtx,SB_metis,39.683689,101.328964
687084,SB_metis,adder_dcop_50.mtx,SB_metis,39.726913,11.535936
687083,SB_metis,adder_dcop_49.mtx,SB_metis,40.003338,10.063342
687082,SB_metis,adder_dcop_48.mtx,SB_metis,41.47562,12.479372
687081,SB_metis,adder_dcop_47.mtx,SB_metis,39.75024,25.998545
687080,SB_metis,adder_dcop_46.mtx,SB_metis,39.788708,12.052288
140449,SB_degree,ex4.mtx,SB_degree,0.025712,12.663945
140448,SB_degree,ex37.mtx,SB_degree,0.044078,39.921085
140447,SB_degree,ex36.mtx,SB_degree,0.041222,31.741623
140446,SB_degree,ex35.mtx,SB_degree,0.208867,128.314255
140445,SB_degree,ex33.mtx,SB_degree,0.019048,9.01422
140444,SB_degree,ex32.mtx,SB_degree,0.020661,6.046708
140443,SB_degree,ex31.mtx,SB_degree,0.043277,61.142448
140442,SB_degree,ex3.mtx,SB_degree,0.035712,19.361197
140441,SB_degree,ex29.mtx,SB_degree,0.042926,14.736269
140440,SB_degree,ex28.mtx,SB_degree,0.037816,45.397938
140439,SB_degree,ex27.mtx,SB_degree,0.020872,24.744457
140438,SB_degree,ex26.mtx,SB_degree,0.034228,51.776638
140437,SB_degree,ex25.mtx,SB_degree,0.023727,16.067833
140436,SB_degree,ex24.mtx,SB_degree,0.035541,28.899872
140435,SB_degree,ex23.mtx,SB_degree,0.028146,25.89703
140434,SB_degree,ex22.mtx,SB_degree,0.023106,14.464776
140433,SB_degree,ex21.mtx,SB_degree,0.019619,12.566751
140432,SB_degree,ex20.mtx,SB_degree,0.031062,42.068348
140431,SB_degree,ex2.mtx,SB_degree,0.016753,10.968126
140430,SB_degree,ex19.mtx,SB_degree,0.102585,148.670547
140429,SB_degree,ex18.mtx,SB_degree,0.065561,41.652847
140428,SB_degree,ex15.mtx,SB_degree,0.067655,33.75602
140427,SB_degree,ex14.mtx,SB_degree,1.134047,37.785507
140426,SB_degree,ex13.mtx,SB_degree,0.036944,26.009676
140425,SB_degree,ex12.mtx,SB_degree,0.048597,28.162849
140424,SB_degree,ex10hs.mtx,SB_degree,0.032476,23.794909
140423,SB_degree,ex10.mtx,SB_degree,0.032535,20.117355
140422,SB_degree,cavity26.mtx,SB_degree,0.047034,80.135727
140421,SB_degree,cavity25.mtx,SB_degree,0.053587,79.391754
140420,SB_degree,cavity24.mtx,SB_degree,0.059138,82.335617
140419,SB_degree,cavity23.mtx,SB_degree,0.048157,78.180634
140418,SB_degree,cavity22.mtx,SB_degree,0.054599,80.266434
140417,SB_degree,cavity21.mtx,SB_degree,0.046743,77.178703
140416,SB_degree,cavity20.mtx,SB_degree,0.048908,79.913834
140415,SB_degree,cavity19.mtx,SB_degree,0.04972,77.866814
140414,SB_degree,cavity18.mtx,SB_degree,0.056706,61.442398
140413,SB_degree,cavity17.mtx,SB_degree,1.639477,102.194511
140412,SB_degree,cavity16.mtx,SB_degree,1.631312,102.202812
140411,SB_degree,cavity15.mtx,SB_degree,1.634046,81.567055
140410,SB_degree,cavity14.mtx,SB_degree,1.630751,75.502487
140409,SB_degree,cavity13.mtx,SB_degree,1.644296,60.887043
140408,SB_degree,cavity12.mtx,SB_degree,0.040255,43.336525
140407,SB_degree,cavity11.mtx,SB_degree,1.649065,37.140099
140406,SB_degree,cavity10.mtx,SB_degree,1.636171,74.802505
140405,SB_degree,cavity09.mtx,SB_degree,1.627906,46.668777
140404,SB_degree,cavity08.mtx,SB_degree,1.708977,78.416626
140403,SB_degree,cavity07.mtx,SB_degree,0.030077,64.840584
140402,SB_degree,cavity06.mtx,SB_degree,1.682568,67.654556
140401,SB_degree,cavity05.mtx,SB_degree,1.590795,81.763527
140400,SB_degree,vibrobox.mtx,SB_degree,0.133751,91.175423
140398,SB_degree,thermal.mtx,SB_degree,1.656379,62.4716
140397,SB_degree,coater2.mtx,SB_degree,0.125906,86.017281
140396,SB_degree,coater1.mtx,SB_degree,1.645138,64.568481
140395,SB_degree,circuit_4.mtx,SB_degree,0.982504,119.478317
140394,SB_degree,circuit_3.mtx,SB_degree,1.731901,68.777275
140393,SB_degree,circuit_2.mtx,SB_degree,1.673571,66.869568
140392,SB_degree,circuit_1.mtx,SB_degree,1.640519,30.54558
140391,SB_degree,pcrystk02.mtx,SB_degree,0.119885,118.375572
140389,SB_degree,nasa2910.mtx,SB_degree,1.573474,83.600845
140388,SB_degree,nasa1824.mtx,SB_degree,1.644907,106.383995
140390,SB_degree,nasa4704.mtx,SB_degree,1.652411,77.866364
140387,SB_degree,msc04515.mtx,SB_degree,1.645008,94.713745
140386,SB_degree,msc01440.mtx,SB_degree,1.590645,26.521709
140385,SB_degree,msc01050.mtx,SB_degree,1.61985,101.834412
140384,SB_degree,msc00726.mtx,SB_degree,1.661469,85.184944
140383,SB_degree,crystm03.mtx,SB_degree,0.295725,649.181152
140382,SB_degree,crystm02.mtx,SB_degree,0.167334,94.18206
140381,SB_degree,crystm01.mtx,SB_degree,1.63569,32.853371
140380,SB_degree,crystk02.mtx,SB_degree,0.201859,269.711151
140379,SB_degree,crystk01.mtx,SB_degree,0.079459,93.046524
140378,SB_degree,bcsstm39.mtx,SB_degree,1.977231,29.707165
140377,SB_degree,bcsstm38.mtx,SB_degree,1.682357,171.379044
140376,SB_degree,bcsstm37.mtx,SB_degree,1.886811,24.128736
140375,SB_degree,bcsstm36.mtx,SB_degree,0.278182,89.82122
140374,SB_degree,bcsstm35.mtx,SB_degree,1.907821,65.178017
140373,SB_degree,bcsstm34.mtx,SB_degree,1.612226,25.828936
140372,SB_degree,bcsstk38.mtx,SB_degree,1.55072,171.486023
140371,SB_degree,bcsstk34.mtx,SB_degree,1.666558,93.512245
140370,SB_degree,rw5151.mtx,SB_degree,1.634407,90.434662
140369,SB_degree,rdb5000.mtx,SB_degree,1.639617,101.481941
140368,SB_degree,rdb2048.mtx,SB_degree,1.620562,51.812172
140367,SB_degree,rbsb480.mtx,SB_degree,1.669844,99.385818
140366,SB_degree,rbsa480.mtx,SB_degree,1.629157,51.168861
816727,SB_slashburn,adder_dcop_31.mtx,SB_slashburn,5.424391,29.501717
816726,SB_slashburn,adder_dcop_30.mtx,SB_slashburn,5.451757,37.184742
