job_id,tag,matrix,perm,perm_type,algo,block_size,n_cols,time_loading_ms,time_write_ms,time_operation_ms,time_transfer_ms
196745,SMAT_SPMM_ROW,nemspmm2.mtx,SB_degree,ROW,SMAT_SPMM_ROW,32.0,256,20.056065,18.688886,0.256,
196703,SMAT_SPMM_ROW,model6.mtx,SB_degree,ROW,SMAT_SPMM_ROW,32.0,256,20.152202,18.199308,0.129,
196859,SMAT_SPMM_ROW,route.mtx,SB_degree,ROW,SMAT_SPMM_ROW,32.0,256,41.720752,52.261948,1.32,
196831,SMAT_SPMM_ROW,rlfprim.mtx,SB_gray,ROW,SMAT_SPMM_ROW,32.0,256,45.728249,128.182951,0.08,
196821,SMAT_SPMM_ROW,rlfdual.mtx,random1D,ROW,SMAT_SPMM_ROW,32.0,256,38.527133,118.346559,0.751,
196822,SMAT_SPMM_ROW,rlfdual.mtx,SB_degree,ROW,SMAT_SPMM_ROW,32.0,32,37.29012,116.605768,0.55,
196815,SMAT_SPMM_ROW,rlfddd.mtx,random1D,ROW,SMAT_SPMM_ROW,32.0,256,31.638203,106.000048,1.039,
196820,SMAT_SPMM_ROW,rlfdual.mtx,random1D,ROW,SMAT_SPMM_ROW,32.0,32,39.517974,119.565714,0.752,
196870,SMAT_SPMM_ROW,slptsk.mtx,SB_degree,ROW,SMAT_SPMM_ROW,32.0,32,20.081343,20.647727,0.041,
196874,SMAT_SPMM_ROW,south31.mtx,random1D,ROW,SMAT_SPMM_ROW,32.0,32,32.550922,31.595937,0.07,
196817,SMAT_SPMM_ROW,rlfddd.mtx,SB_degree,ROW,SMAT_SPMM_ROW,32.0,256,39.102394,107.491981,0.662,
196883,SMAT_SPMM_ROW,stat96v1.mtx,SB_degree,ROW,SMAT_SPMM_ROW,32.0,256,72.423832,135.6005,0.155,
196864,SMAT_SPMM_ROW,seymourl.mtx,SB_degree,ROW,SMAT_SPMM_ROW,32.0,32,18.822556,22.120527,0.061,
196802,SMAT_SPMM_ROW,primagaz.mtx,random1D,ROW,SMAT_SPMM_ROW,32.0,32,15.597839,14.213522,0.2,
196805,SMAT_SPMM_ROW,primagaz.mtx,SB_degree,ROW,SMAT_SPMM_ROW,32.0,256,16.747788,10.233388,0.451,
196823,SMAT_SPMM_ROW,rlfdual.mtx,SB_degree,ROW,SMAT_SPMM_ROW,32.0,256,37.553949,115.652123,0.551,
196881,SMAT_SPMM_ROW,stat96v1.mtx,random1D,ROW,SMAT_SPMM_ROW,32.0,256,83.31902,230.217563,0.228,
196678,SMAT_SPMM_ROW,mod2.mtx,SB_degree,ROW,SMAT_SPMM_ROW,32.0,32,34.543388,83.823373,0.386,
196689,SMAT_SPMM_ROW,model4.mtx,random1D,ROW,SMAT_SPMM_ROW,32.0,256,18.24893,15.611002,0.123,
196576,SMAT_SPMM_ROW,ch.mtx,SB_degree,ROW,SMAT_SPMM_ROW,32.0,32,11.031781,14.522018,0.151,
196754,SMAT_SPMM_ROW,nl.mtx,random1D,ROW,SMAT_SPMM_ROW,32.0,32,19.421052,26.605834,0.219,
196787,SMAT_SPMM_ROW,pcb1000.mtx,SB_degree,ROW,SMAT_SPMM_ROW,32.0,256,19.916693,9.275478,0.138,
196720,SMAT_SPMM_ROW,model9.mtx,SB_degree,ROW,SMAT_SPMM_ROW,32.0,32,20.376051,26.657646,0.145,
196391,SMAT_SPMM_ROW,pds-50.mtx,SB_degree,ROW,SMAT_SPMM_ROW,32.0,256,79.773318,246.033444,1.518,
196862,SMAT_SPMM_ROW,seymourl.mtx,random1D,ROW,SMAT_SPMM_ROW,32.0,32,12.645097,19.62042,0.078,
196829,SMAT_SPMM_ROW,rlfprim.mtx,SB_degree,ROW,SMAT_SPMM_ROW,32.0,256,46.764841,131.860742,0.067,
196562,SMAT_SPMM_ROW,car4.mtx,random1D,ROW,SMAT_SPMM_ROW,32.0,32,20.541861,30.7326,0.069,
196899,SMAT_SPMM_ROW,t0331-4l.mtx,random1D,ROW,SMAT_SPMM_ROW,32.0,256,53.773682,171.62058,2.191,
196838,SMAT_SPMM_ROW,rosen2.mtx,random1D,ROW,SMAT_SPMM_ROW,32.0,32,20.899697,25.349101,0.148,
196871,SMAT_SPMM_ROW,slptsk.mtx,SB_degree,ROW,SMAT_SPMM_ROW,32.0,256,20.190718,20.055754,0.042,
196916,SMAT_SPMM_ROW,us04.mtx,random1D,ROW,SMAT_SPMM_ROW,32.0,32,34.581707,125.970718,1.719,
196469,SMAT_SPMM_ROW,neos1.mtx,SB_degree,ROW,SMAT_SPMM_ROW,32.0,256,70.810883,242.001774,0.098,
196869,SMAT_SPMM_ROW,slptsk.mtx,random1D,ROW,SMAT_SPMM_ROW,32.0,256,23.56251,33.584885,0.054,
196917,SMAT_SPMM_ROW,us04.mtx,random1D,ROW,SMAT_SPMM_ROW,32.0,256,34.724271,126.984936,1.72,
196923,SMAT_SPMM_ROW,world.mtx,random1D,ROW,SMAT_SPMM_ROW,32.0,256,43.459703,83.297748,0.487,
196785,SMAT_SPMM_ROW,pcb1000.mtx,random1D,ROW,SMAT_SPMM_ROW,32.0,256,18.524189,14.129038,0.145,
196880,SMAT_SPMM_ROW,stat96v1.mtx,random1D,ROW,SMAT_SPMM_ROW,32.0,32,83.917567,230.099095,0.231,
196927,SMAT_SPMM_ROW,world.mtx,SB_gray,ROW,SMAT_SPMM_ROW,32.0,256,48.733589,48.498628,0.334,
196510,SMAT_SPMM_ROW,aa6.mtx,SB_degree,ROW,SMAT_SPMM_ROW,32.0,32,20.841139,26.341905,0.384,
