job_id,tag,matrix,perm,time_reordering_ms,time_loading_ms
951701,SPARTA_reorder,bcspwr10.mtx,SPARTA_reorder,395.885,
951702,SPARTA_reorder,bcsstk08.mtx,SPARTA_reorder,17.398,
951703,SPARTA_reorder,bcsstk09.mtx,SPARTA_reorder,15.821,
951704,SPARTA_reorder,bcsstk10.mtx,SPARTA_reorder,16.369,
951705,SPARTA_reorder,bcsstk11.mtx,SPARTA_reorder,34.874,
951706,SPARTA_reorder,bcsstk12.mtx,SPARTA_reorder,31.319,
951707,SPARTA_reorder,bcsstk13.mtx,SPARTA_reorder,68.182,
951708,SPARTA_reorder,bcsstk14.mtx,SPARTA_reorder,47.76,
951709,SPARTA_reorder,bcsstk15.mtx,SPARTA_reorder,269.614,
951710,SPARTA_reorder,bcsstk16.mtx,SPARTA_reorder,286.629,
951711,SPARTA_reorder,bcsstk17.mtx,SPARTA_reorder,1748.69,
951712,SPARTA_reorder,bcsstk18.mtx,SPARTA_reorder,2457.04,
951713,SPARTA_reorder,bcsstk21.mtx,SPARTA_reorder,202.616,
951714,SPARTA_reorder,bcsstk23.mtx,SPARTA_reorder,190.199,
951715,SPARTA_reorder,bcsstk24.mtx,SPARTA_reorder,166.136,
951716,SPARTA_reorder,bcsstk25.mtx,SPARTA_reorder,5003.35,
951717,SPARTA_reorder,bcsstk26.mtx,SPARTA_reorder,62.049,
951718,SPARTA_reorder,bcsstk27.mtx,SPARTA_reorder,27.904,
951719,SPARTA_reorder,bcsstk28.mtx,SPARTA_reorder,215.004,
951720,SPARTA_reorder,bcsstk29.mtx,SPARTA_reorder,2961.99,
951721,SPARTA_reorder,bcsstk33.mtx,SPARTA_reorder,1091.04,
951722,SPARTA_reorder,bcsstm10.mtx,SPARTA_reorder,16.624,
951723,SPARTA_reorder,bcsstm12.mtx,SPARTA_reorder,33.748,
951724,SPARTA_reorder,bcsstm13.mtx,SPARTA_reorder,64.385,
951725,SPARTA_reorder,bcsstm25.mtx,SPARTA_reorder,31.62,
951726,SPARTA_reorder,bcsstm27.mtx,SPARTA_reorder,32.341,
951730,SPARTA_reorder,blckhole.mtx,SPARTA_reorder,89.724,
951731,SPARTA_reorder,can_1054.mtx,SPARTA_reorder,16.084,
951732,SPARTA_reorder,can_1072.mtx,SPARTA_reorder,15.754,
951733,SPARTA_reorder,can_838.mtx,SPARTA_reorder,8.265,
951734,SPARTA_reorder,dwt_1242.mtx,SPARTA_reorder,23.881,
951735,SPARTA_reorder,dwt_2680.mtx,SPARTA_reorder,119.618,
951736,SPARTA_reorder,dwt_992.mtx,SPARTA_reorder,12.501,
951737,SPARTA_reorder,eris1176.mtx,SPARTA_reorder,21.047,
951739,SPARTA_reorder,gemat11.mtx,SPARTA_reorder,422.062,
951740,SPARTA_reorder,gemat12.mtx,SPARTA_reorder,423.273,
951741,SPARTA_reorder,lns_3937.mtx,SPARTA_reorder,234.52,
951742,SPARTA_reorder,lnsp3937.mtx,SPARTA_reorder,235.771,
951743,SPARTA_reorder,lshp1561.mtx,SPARTA_reorder,38.122,
951744,SPARTA_reorder,lshp1882.mtx,SPARTA_reorder,53.096,
951745,SPARTA_reorder,lshp2614.mtx,SPARTA_reorder,105.634,
951746,SPARTA_reorder,lshp3025.mtx,SPARTA_reorder,142.802,
951747,SPARTA_reorder,lshp3466.mtx,SPARTA_reorder,186.25,
951748,SPARTA_reorder,mbeacxc.mtx,SPARTA_reorder,16.683,
